SYMBOL,START_DATE,END_DATE,DATES,SPREAD,N_CLUSTERS,PREDICTIVE_CLUSTERS,RETURN,MIN_PIPS,N_TRADE,WIN_RATE,MAX_DRAWDOWN,SHARPE,PATH,BENCHMARK_RETURN
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,700,115,15.280091990781308,0.05,138,0.5507246376811594,0.0240068886337544,2.655492477188294,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,137,-13.060214269033231,0.05,199,0.4673366834170854,0.0240068886337543,-1.980432990022539,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,142,28.865166014517605,0.05,150,0.6,0.0242501696448767,3.1713744927452963,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,160,-22.4918994942769,0.05,162,0.4444444444444444,0.0240068886337543,-2.698700456665995,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,153,-5.027640846955983,0.05,165,0.4848484848484848,0.0240068886337542,-1.3156692931683844,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,500,135,-11.478254392130182,0.05,136,0.4852941176470588,0.0240068886337542,-2.6615541203669286,/content/PSC-Pattern-Classification/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,100,76,-4.062239086330333,0.05,226,0.4911504424778761,0.0270019157088122,-0.912100000449502,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,100,51,-38.82103074010585,0.05,215,0.4,0.0270019157088122,-2.886812841213585,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,100,41,-4.242725344113351,0.05,211,0.4928909952606635,0.0270019157088122,-1.3133944542212337,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,100,74,-4.89329072245166,0.05,222,0.5,0.0270019157088122,-1.3587528515901337,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,100,35,-1.0945043087653985,0.05,236,0.5,0.0270019157088122,-0.520458421049097,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,100,66,-19.465395597856197,0.05,220,0.4545454545454545,0.0242501696448766,-2.8805670079724446,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,100,67,-13.69609607994401,0.05,211,0.4691943127962085,0.0270019157088122,-2.3160157861159245,/content/Code/Code-2/,7.629613356766263
FRA40,2016-01-06 07:00:00,2017-01-06 07:00:00,"['2012-01-06 07:00:00', '2016-01-06 07:00:00', '2017-01-06 07:00:00']",0.01,100,81,-5.141439362068434,0.05,234,0.4957264957264957,0.0270019157088122,-1.2807778669206324,/content/Code/Code-2/,7.629613356766263
